Removed Pin From Net: NetName=NetLDR1_1 Pin=U3-J2-1
Removed Pin From Net: NetName=NetLDR1_2 Pin=U3-J2-3
Removed Pin From Net: NetName=NetP3_5 Pin=U3-J2-8
Removed Pin From Net: NetName=NetP3_6 Pin=U3-J2-9
Removed Pin From Net: NetName=NetP3_7 Pin=U3-J2-10
Removed Pin From Net: NetName=NetR7_1 Pin=U3-J2-11
Removed Pin From Net: NetName=NetP3_4 Pin=U3-J2-12
Removed Pin From Net: NetName=NetP3_3 Pin=U3-J2-13
Removed Pin From Net: NetName=NetP3_2 Pin=U3-J2-16
Removed Pin From Net: NetName=NetP3_1 Pin=U3-J2-17
Removed Pin From Net: NetName=NetD5_C Pin=U3-J2-19
Removed Pin From Net: NetName=NetP3_8 Pin=U3-J3-1
Removed Pin From Net: NetName=NetS2_03 Pin=U3-J3-11
Removed Pin From Net: NetName=NetS1_03 Pin=U3-J3-12
Removed Pin From Net: NetName=Netpitch1_03 Pin=U3-J3-15
Removed Pin From Net: NetName=Netroll1_03 Pin=U3-J3-16
Change Component Footprint: Designator=U3 Old Footprint=MODULE_ESP32-DEVKITC-32D New Footprint=MODULE_ESP32-DEVKITC-32U
Change Component Comment : Designator=U3 Old Comment=ESP32-DEVKITC-32D New Comment=ESP32-DEVKITC-32U
Change component parameters: Designator = "U3" ("U3"); Footprint = "MODULE_ESP32-DEVKITC-32D"; UniqueID = "\GXRDJDVS" ("\GXRDJDVS")
Add component (AddParameter): Name = "DC Resistance (DCR)"; Value = "25.1mOhmMax"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "EDA / CAD Models"; Value = "DownloadfromAcceleratedDesigns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "FixedInductors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency - Self Resonant"; Value = "35MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency - Test"; Value = "100kHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.177"(4.50mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance"; Value = "2.2µH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Kits"; Value = "SRN-LAB1-ND
-INDUCTORKIT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Bourns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.bourns.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material - Core"; Value = "Ferrite"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Online Catalog"; Value = "SRNSeries"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-40°C~125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Other Names"; Value = "SRN6045-2R2YCT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "Nonstandard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mounted Device, Body 6 x 6 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "SRN6045"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "CutTape(CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCN Assembly/Origin"; Value = "MagneticproductsOct/2013"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Training Modules"; Value = "SRNSeries:Semi-ShieldedInductors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Q @ Freq"; Value = "15@7.96MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Information"; Value = "SRN6045SeriesMaterialDeclaration"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "SRN6045"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Shielding"; Value = "Shielded"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.236"Lx0.236"W(6.00mmx6.00mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Standard Package"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±30%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Wirewound"; VariantName = "[No Variations]"
Added Component: Designator=L4(WE-PD_1280)
Add component (AddParameter): Name = "Ambient Temperature Range High"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ambient Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "Nonstandard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Wirewound"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Core Material"; Value = "Ferrite"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "3A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance (DCR)"; Value = "53mO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "12mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "8.001mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance"; Value = "47µH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "7mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "12mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max DC Current"; Value = "2.7A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "NexarPartId"; Value = "8917149"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100mO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RMS Current (Irms)"; Value = "2.7A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Saturation Current"; Value = "3A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Self Resonant Frequency"; Value = "7.9MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series Resistance"; Value = "100mO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Shielding"; Value = "Shielded"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Test Frequency"; Value = "1kHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "4.535924g"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "12mm"; VariantName = "[No Variations]"
Added Component: Designator=L5(WE-PD_1280)
Add component (AddParameter): Name = "Ambient Temperature Range High"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ambient Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "Nonstandard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Wirewound"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Core Material"; Value = "Ferrite"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "3A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance (DCR)"; Value = "53mO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "12mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "8.001mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance"; Value = "47µH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "7mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "12mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max DC Current"; Value = "2.7A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "NexarPartId"; Value = "8917149"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100mO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RMS Current (Irms)"; Value = "2.7A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Saturation Current"; Value = "3A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Self Resonant Frequency"; Value = "7.9MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series Resistance"; Value = "100mO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Shielding"; Value = "Shielded"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Test Frequency"; Value = "1kHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "4.535924g"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "12mm"; VariantName = "[No Variations]"
Added Component: Designator=L6(BOUR-SRN6045_V)
Add component (AddParameter): Name = "3D Model"; Value = "SRN6045.stp"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Inductors,Coils,Chokes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Saturation"; Value = "6A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "3.5A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://www.bourns.com/docs/Product-Datasheets/SRN6045.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "12/2014"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance (DCR)"; Value = "25.1mOhmMax"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "EDA / CAD Models"; Value = "DownloadfromAcceleratedDesigns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "FixedInductors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency - Self Resonant"; Value = "35MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency - Test"; Value = "100kHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.177"(4.50mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance"; Value = "2.2µH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Kits"; Value = "SRN-LAB1-ND
-INDUCTORKIT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Bourns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.bourns.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material - Core"; Value = "Ferrite"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Online Catalog"; Value = "SRNSeries"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-40°C~125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Other Names"; Value = "SRN6045-2R2YCT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "Nonstandard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mounted Device, Body 6 x 6 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "SRN6045"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "CutTape(CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCN Assembly/Origin"; Value = "MagneticproductsOct/2013"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Training Modules"; Value = "SRNSeries:Semi-ShieldedInductors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Q @ Freq"; Value = "15@7.96MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Information"; Value = "SRN6045SeriesMaterialDeclaration"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "SRN6045"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Shielding"; Value = "Shielded"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.236"Lx0.236"W(6.00mmx6.00mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Standard Package"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±30%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Wirewound"; VariantName = "[No Variations]"
Added Component: Designator=P1(TE_282837-2)
Add component (AddParameter): Name = "Availability"; Value = "In Stock"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/282837-2/TE+Connectivity+AMP+Connectors/view-part/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Design Item ID"; Value = "282837-2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "282837-2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Purchase-URL"; Value = "https://pricing.snapeda.com/search/part/282837-2/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/282837-2/TE+Connectivity+AMP+Connectors/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = "282837-2.SchLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=P2(61301011121)
Add component (AddParameter): Name = "Color"; Value = "Black"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Connector Type"; Value = "Male Pin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Gender"; Value = "Male"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Material"; Value = "Copper"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Mating Length"; Value = "5.9944mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Resistance"; Value = "20mO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "3A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Flammability Rating"; Value = "UL94 V-0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gender"; Value = "Male"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "8.74mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Housing Material"; Value = "PBT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Insulation Resistance"; Value = "1GO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "2.54mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "2.54mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "105°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "NexarPartId"; Value = "18818159"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Contacts"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Positions"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Rows"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Supply Voltage"; Value = "250V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Orientation"; Value = "Vertical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "2.54mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "Solder"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "250V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "25.4mm"; VariantName = "[No Variations]"
Added Component: Designator=Pi1(SMTC-TSW-120-24-X-D)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.samtec.com"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.samtec.com/documents/webfiles/pdf/TSW_TH.PDF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.samtec.com/documents/webfiles/cpdf/TSW-XXX-XX-XXX-X-XX-XXX-MKT.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "F-214"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Samtec"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Through-hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Orientation"; Value = "Vertical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = ".025[0.64] SQ. Post Terminal Strip Assembly"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "TSW-120-24-X-D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "DM, 8/1988"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "TSW-120-24-F-D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "2.54 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "True"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range"; Value = "-55 to 125 degC"; VariantName = "[No Variations]"
Added Component: Designator=power1(629105150521)
Add component (AddParameter): Name = "Connector Type"; Value = "USB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Material"; Value = "Gold"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Resistance"; Value = "30mO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "3A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Shielded"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gender"; Value = "Receptacle"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "2.86mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Insulation Resistance"; Value = "1GO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Horizontal, Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "NexarPartId"; Value = "52645113"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Contacts"; Value = "5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Supply Voltage"; Value = "30V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Orientation"; Value = "Horizontal"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "USB Standard"; Value = "USB 2.0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "30V"; VariantName = "[No Variations]"
Added Component: Designator=Q1(DPAK228P990X238-4N)
Add component (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Continuous Drain Current (Id)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20230505/3F73ADF2DE3058DC47170F0DD3B592B7.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device"; Value = "AOD472-VB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain Source On Resistance (RDS(on)@Vgs,Id)"; Value = "6mO@4.5V,65A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain Source Voltage (Vdss)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gate Threshold Voltage (Vgs(th)@Id)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Capacitance (Ciss@Vds)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LCSC Part Name"; Value = "1?N?? ??:20V ??:65A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "VBsemi(?????)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part"; Value = "AOD472-VB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation (Pd)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reverse Transfer Capacitance (Crss@Vds)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Footprint"; Value = "TO-252-2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part"; Value = "C693172"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Symbol"; Value = "AOD472"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Gate Charge (Qg@Vgs)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "1?NChannel"; VariantName = "[No Variations]"
Added Component: Designator=Q2(DPAK228P990X238-4N)
Add component (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Continuous Drain Current (Id)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20230505/3F73ADF2DE3058DC47170F0DD3B592B7.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device"; Value = "AOD472-VB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain Source On Resistance (RDS(on)@Vgs,Id)"; Value = "6mO@4.5V,65A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain Source Voltage (Vdss)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gate Threshold Voltage (Vgs(th)@Id)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Capacitance (Ciss@Vds)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LCSC Part Name"; Value = "1?N?? ??:20V ??:65A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "VBsemi(?????)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part"; Value = "AOD472-VB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation (Pd)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reverse Transfer Capacitance (Crss@Vds)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Footprint"; Value = "TO-252-2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part"; Value = "C693172"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Symbol"; Value = "AOD472"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Gate Charge (Qg@Vgs)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "1?NChannel"; VariantName = "[No Variations]"
Added Component: Designator=R1(RESC0402(1005)_L)
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
